approval_action,canonical_url,local_key,local_url,filename,wp_upload_month,attachment_ids,usage_types,usage_count,raw_variant_count,sample_usage_json,safety_note
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3273-websize.jpg,wordpress-migration/2024/06/DSF3273-websize.jpg,/media/wordpress-migration/2024/06/DSF3273-websize.jpg,DSF3273-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3277-websize.jpg,wordpress-migration/2024/06/DSF3277-websize.jpg,/media/wordpress-migration/2024/06/DSF3277-websize.jpg,DSF3277-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3285-websize.jpg,wordpress-migration/2024/06/DSF3285-websize.jpg,/media/wordpress-migration/2024/06/DSF3285-websize.jpg,DSF3285-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3299-websize.jpg,wordpress-migration/2024/06/DSF3299-websize.jpg,/media/wordpress-migration/2024/06/DSF3299-websize.jpg,DSF3299-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3305-websize.jpg,wordpress-migration/2024/06/DSF3305-websize.jpg,/media/wordpress-migration/2024/06/DSF3305-websize.jpg,DSF3305-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3306-websize.jpg,wordpress-migration/2024/06/DSF3306-websize.jpg,/media/wordpress-migration/2024/06/DSF3306-websize.jpg,DSF3306-websize.jpg,2024/06,15997,page_embedded_media_url|portfolio_embedded_media_url|portfolio_featured_image,10,8,"[{""type"": ""page_embedded_media_url"", ""postType"": ""page"", ""wpPostId"": 7736, ""slug"": ""cp"", ""title"": ""Company portfolio""}, {""type"": ""page_embedded_media_url"", ""postType"": ""page"", ""wpPostId"": 7736, ""slug"": ""cp"", ""title"": ""Company portfolio""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3315-websize.jpg,wordpress-migration/2024/06/DSF3315-websize.jpg,/media/wordpress-migration/2024/06/DSF3315-websize.jpg,DSF3315-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3317-websize.jpg,wordpress-migration/2024/06/DSF3317-websize.jpg,/media/wordpress-migration/2024/06/DSF3317-websize.jpg,DSF3317-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3318-websize.jpg,wordpress-migration/2024/06/DSF3318-websize.jpg,/media/wordpress-migration/2024/06/DSF3318-websize.jpg,DSF3318-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3327-websize.jpg,wordpress-migration/2024/06/DSF3327-websize.jpg,/media/wordpress-migration/2024/06/DSF3327-websize.jpg,DSF3327-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3329-websize.jpg,wordpress-migration/2024/06/DSF3329-websize.jpg,/media/wordpress-migration/2024/06/DSF3329-websize.jpg,DSF3329-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3350-websize.jpg,wordpress-migration/2024/06/DSF3350-websize.jpg,/media/wordpress-migration/2024/06/DSF3350-websize.jpg,DSF3350-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
