approval_action,wp_product_id,wp_sku,wp_product_name,gallery_position,node_product_id,node_product_name,node_product_status,match_status,old_wp_url,canonical_url,target_node_url,filename
set_product_main_image,12694,12694,Roshina 3 Maroon,0,390117,Roshina 3 Maroon,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-1.jpg,Roshina-3-Maroon-1.jpg
set_product_gallery_image,14242,12535,Roshina 3 Maroon event,1,390144,Roshina 3 Maroon event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-2.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-2.jpg,Roshina-3-Maroon-2.jpg
set_product_gallery_image,12702,12702,Roshina 3 Maroon store,1,390118,Roshina 3 Maroon store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-2.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-2.jpg,Roshina-3-Maroon-2.jpg
set_product_gallery_image,12694,12694,Roshina 3 Maroon,2,390117,Roshina 3 Maroon,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-2.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-2.jpg,Roshina-3-Maroon-2.jpg
set_product_gallery_image,14242,12535,Roshina 3 Maroon event,2,390144,Roshina 3 Maroon event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-4.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-4.jpg,Roshina-3-Maroon-4.jpg
set_product_gallery_image,12702,12702,Roshina 3 Maroon store,2,390118,Roshina 3 Maroon store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-4.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-4.jpg,Roshina-3-Maroon-4.jpg
set_product_gallery_image,12694,12694,Roshina 3 Maroon,3,390117,Roshina 3 Maroon,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-4.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-4.jpg,Roshina-3-Maroon-4.jpg
set_product_gallery_image,14242,12535,Roshina 3 Maroon event,3,390144,Roshina 3 Maroon event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-3.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-3.jpg,Roshina-3-Maroon-3.jpg
set_product_gallery_image,12702,12702,Roshina 3 Maroon store,3,390118,Roshina 3 Maroon store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-3.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-3.jpg,Roshina-3-Maroon-3.jpg
set_product_gallery_image,12694,12694,Roshina 3 Maroon,1,390117,Roshina 3 Maroon,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-3.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-3.jpg,Roshina-3-Maroon-3.jpg
